CustomerID,TenureMonths,MonthlySpend,SupportTickets,ContractType,Churn,TotalSpend
195,22,41,6,Monthly,No,902
196,28,117,4,Annual,No,3276
197,2,188,1,Monthly,No,376
198,42,87,1,Two-Year,No,3654
199,45,158,5,Monthly,No,7110
200,57,75,7,Annual,Yes,4275
201,53,198,0,Annual,Yes,10494
202,6,168,5,Two-Year,No,1008
203,28,118,1,Two-Year,Yes,3304
204,28,95,1,Monthly,Yes,2660
205,44,45,6,Two-Year,No,1980
206,44,134,9,Monthly,No,5896
207,20,166,0,Annual,No,3320
208,30,128,5,Annual,Yes,3840
209,11,66,6,Annual,No,726
210,58,90,7,Annual,No,5220
211,55,173,6,Annual,Yes,9515
212,28,59,5,Monthly,Yes,1652
213,25,152,8,Annual,No,3800
214,39,168,2,Monthly,No,6552
215,33,151,5,Annual,No,4983
216,1,42,3,Monthly,Yes,42
217,57,125,1,Monthly,No,7125
218,27,103,0,Monthly,No,2781
219,57,162,0,Two-Year,Yes,9234
220,52,135,9,Monthly,Yes,7020
221,13,128,2,Monthly,No,1664
222,41,155,3,Annual,No,6355
223,3,60,1,Monthly,No,180
224,39,131,0,Monthly,No,5109
225,6,166,3,Two-Year,No,996
226,8,131,6,Annual,No,1048
227,27,122,9,Two-Year,No,3294
228,9,65,5,Two-Year,No,585
229,37,175,5,Two-Year,No,6475
230,33,87,8,Monthly,No,2871
231,51,141,1,Two-Year,Yes,7191
232,42,34,3,Two-Year,No,1428
233,44,184,4,Annual,Yes,8096
234,24,148,0,Annual,No,3552
235,15,130,7,Annual,No,1950
236,59,43,7,Annual,No,2537
237,54,46,5,Two-Year,No,2484
238,32,59,4,Annual,No,1888
239,32,183,7,Monthly,Yes,5856
240,24,43,2,Two-Year,Yes,1032
241,41,43,2,Annual,No,1763
242,52,23,1,Two-Year,No,1196
243,49,86,4,Annual,No,4214
244,49,53,2,Two-Year,No,2597
245,58,196,2,Annual,Yes,11368
246,52,135,5,Monthly,No,7020
247,12,42,7,Annual,No,504
248,39,128,1,Two-Year,No,4992
249,2,88,3,Two-Year,No,176
250,3,114,6,Monthly,Yes,342
251,49,81,0,Two-Year,No,3969
252,37,188,0,Monthly,Yes,6956
253,49,76,9,Two-Year,Yes,3724
254,56,73,6,Two-Year,No,4088
255,17,89,6,Monthly,No,1513
256,59,120,0,Two-Year,No,7080
257,49,76,0,Two-Year,No,3724
258,2,157,3,Monthly,No,314
259,2,187,4,Annual,No,374
260,28,154,4,Monthly,Yes,4312
261,54,122,3,Two-Year,No,6588
262,23,185,7,Annual,No,4255
263,37,104,6,Annual,No,3848
264,32,80,8,Annual,Yes,2560
265,33,22,6,Monthly,Yes,726
266,1,147,9,Annual,No,147
267,19,198,0,Annual,No,3762
268,2,105,6,Annual,No,210
269,53,66,0,Two-Year,No,3498
270,44,95,6,Monthly,No,4180
271,26,57,9,Monthly,No,1482
272,32,183,7,Two-Year,No,5856
273,6,188,8,Annual,Yes,1128
274,32,160,2,Two-Year,No,5120
275,55,106,3,Two-Year,No,5830
276,4,77,3,Annual,Yes,308
277,55,69,8,Annual,Yes,3795
278,11,49,6,Monthly,Yes,539
279,56,120,2,Annual,No,6720
280,59,44,9,Two-Year,No,2596
281,17,131,4,Two-Year,No,2227
282,38,174,6,Annual,No,6612
283,24,198,7,Monthly,No,4752
284,5,145,0,Two-Year,Yes,725
285,52,142,1,Annual,Yes,7384
286,34,66,6,Monthly,No,2244
287,6,137,1,Monthly,No,822
288,22,58,6,Two-Year,No,1276
289,11,35,8,Two-Year,No,385
290,48,41,1,Monthly,No,1968
291,16,73,6,Monthly,No,1168
292,33,168,3,Monthly,Yes,5544
293,9,35,1,Annual,No,315
294,59,78,6,Two-Year,Yes,4602
295,6,50,4,Monthly,No,300
296,16,189,0,Two-Year,Yes,3024
297,29,51,4,Two-Year,No,1479
298,3,181,2,Two-Year,No,543
299,20,28,6,Monthly,No,560
300,59,158,5,Annual,No,9322
301,36,29,7,Monthly,No,1044
302,19,36,4,Two-Year,No,684
303,26,87,1,Monthly,No,2262
304,3,67,8,Monthly,No,201
305,19,199,7,Two-Year,Yes,3781
306,20,130,5,Two-Year,No,2600
307,32,172,9,Monthly,No,5504
308,7,142,6,Monthly,No,994
309,52,168,8,Monthly,No,8736
310,41,120,6,Monthly,Yes,4920
311,33,121,2,Annual,No,3993
312,40,84,5,Monthly,No,3360
313,39,70,6,Annual,Yes,2730
314,18,55,1,Two-Year,No,990
315,40,100,2,Annual,No,4000
316,1,146,3,Two-Year,Yes,146
317,11,107,9,Annual,Yes,1177
318,28,123,5,Two-Year,No,3444
319,57,34,0,Monthly,Yes,1938
320,25,115,8,Annual,No,2875
321,50,186,4,Annual,No,9300
322,23,142,6,Two-Year,No,3266
323,31,20,8,Two-Year,No,620
324,30,170,8,Annual,No,5100
325,42,141,0,Two-Year,No,5922
326,35,186,0,Monthly,No,6510
327,7,145,2,Annual,No,1015
328,16,76,5,Monthly,No,1216
329,26,100,1,Annual,No,2600
330,48,181,9,Monthly,Yes,8688
331,57,188,0,Annual,No,10716
332,52,92,0,Two-Year,No,4784
333,49,160,4,Annual,No,7840
334,2,89,3,Monthly,Yes,178
335,1,25,0,Annual,No,25
336,48,103,3,Monthly,No,4944
337,12,71,2,Monthly,No,852
338,5,22,1,Monthly,No,110
339,37,100,8,Two-Year,No,3700
340,32,82,0,Annual,No,2624
341,59,68,6,Monthly,No,4012
342,55,95,3,Two-Year,Yes,5225
343,9,131,4,Monthly,No,1179
344,41,194,9,Annual,Yes,7954
345,35,128,4,Two-Year,No,4480
346,19,84,0,Monthly,Yes,1596
347,48,100,5,Monthly,No,4800
348,16,34,8,Monthly,No,544
349,3,119,1,Annual,No,357
350,20,51,6,Two-Year,No,1020
351,24,115,5,Two-Year,No,2760
352,54,147,4,Two-Year,Yes,7938
353,56,165,3,Monthly,No,9240
354,33,132,3,Two-Year,No,4356
355,24,102,5,Monthly,Yes,2448
356,52,62,3,Annual,Yes,3224
357,11,135,4,Two-Year,No,1485
358,49,182,5,Monthly,Yes,8918
359,8,97,4,Two-Year,No,776
360,36,77,6,Two-Year,Yes,2772
361,38,52,8,Annual,No,1976
362,40,33,9,Two-Year,Yes,1320
363,20,181,6,Annual,No,3620
364,35,151,6,Two-Year,No,5285
365,48,78,3,Two-Year,No,3744
366,25,176,0,Two-Year,No,4400
367,35,102,7,Two-Year,No,3570
368,25,153,3,Two-Year,Yes,3825
369,29,140,0,Two-Year,Yes,4060
370,18,196,4,Annual,Yes,3528
371,46,187,7,Annual,No,8602
372,18,102,3,Monthly,No,1836
373,2,46,7,Two-Year,No,92
374,54,99,7,Annual,No,5346
375,35,153,2,Two-Year,No,5355
376,16,32,8,Two-Year,No,512
377,41,83,2,Annual,No,3403
378,36,166,0,Two-Year,No,5976
379,33,99,1,Annual,Yes,3267
380,4,142,5,Annual,No,568
381,33,62,9,Monthly,No,2046
382,14,108,1,Monthly,No,1512
383,21,167,5,Monthly,No,3507
384,48,114,0,Monthly,No,5472
385,20,191,0,Two-Year,No,3820
386,56,170,4,Two-Year,Yes,9520
387,8,21,9,Monthly,No,168
388,7,139,8,Annual,No,973
389,3,41,7,Annual,No,123
390,17,134,2,Annual,No,2278
391,33,76,2,Annual,Yes,2508
392,48,91,0,Two-Year,No,4368
393,12,26,2,Annual,No,312
394,59,138,0,Annual,No,8142
395,51,133,7,Monthly,No,6783
396,22,35,0,Annual,Yes,770
397,55,102,4,Two-Year,Yes,5610
398,22,198,8,Annual,No,4356
399,46,91,6,Annual,No,4186
400,30,143,3,Two-Year,No,4290
401,38,132,8,Monthly,No,5016
402,38,31,8,Two-Year,Yes,1178
403,45,145,1,Monthly,Yes,6525
404,51,72,9,Annual,No,3672
405,54,94,9,Monthly,No,5076
406,8,152,5,Monthly,No,1216
407,27,46,3,Monthly,No,1242
408,27,159,7,Annual,No,4293
409,34,164,6,Monthly,Yes,5576
410,21,153,6,Monthly,No,3213
411,30,116,9,Annual,Yes,3480
412,33,24,8,Two-Year,No,792
413,28,76,4,Two-Year,No,2128
414,47,175,5,Two-Year,No,8225
415,33,97,0,Annual,No,3201
416,5,88,5,Annual,No,440
417,48,137,1,Two-Year,No,6576
418,19,139,5,Monthly,Yes,2641
419,4,78,8,Two-Year,Yes,312
420,35,52,7,Annual,No,1820
421,49,81,8,Monthly,No,3969
422,17,69,9,Monthly,No,1173
423,44,131,7,Annual,Yes,5764
424,28,38,2,Monthly,No,1064
425,30,142,7,Two-Year,Yes,4260
426,29,66,5,Annual,No,1914
427,46,186,5,Annual,No,8556
428,53,52,5,Annual,No,2756
429,6,160,2,Annual,No,960
430,35,103,9,Monthly,No,3605
431,41,154,0,Annual,Yes,6314
432,37,98,3,Annual,No,3626
433,24,33,9,Monthly,Yes,792
434,29,166,5,Annual,No,4814
435,49,147,9,Monthly,No,7203
436,46,73,1,Monthly,No,3358
437,53,167,6,Annual,No,8851
438,31,48,6,Two-Year,Yes,1488
439,35,43,3,Annual,No,1505
440,33,101,3,Two-Year,No,3333
441,52,82,0,Monthly,No,4264
442,21,124,1,Two-Year,No,2604
443,32,76,8,Annual,No,2432
444,23,155,9,Annual,No,3565
445,33,81,7,Two-Year,No,2673
446,3,176,7,Annual,Yes,528
447,18,36,8,Two-Year,No,648
448,25,85,6,Monthly,No,2125
449,42,25,8,Two-Year,No,1050
450,31,77,9,Two-Year,No,2387
451,54,88,1,Two-Year,No,4752
452,58,175,5,Two-Year,Yes,10150
453,3,81,2,Monthly,Yes,243
454,40,188,5,Monthly,Yes,7520
455,46,101,2,Monthly,No,4646
456,24,188,7,Two-Year,No,4512
457,50,196,3,Monthly,No,9800
458,32,196,9,Annual,Yes,6272
459,47,90,5,Monthly,No,4230
460,22,150,8,Two-Year,No,3300
461,23,29,1,Annual,No,667
462,2,117,1,Two-Year,No,234
463,27,108,6,Annual,No,2916
464,42,54,1,Two-Year,No,2268
465,2,21,1,Two-Year,No,42
466,26,143,3,Annual,No,3718
467,17,43,8,Monthly,Yes,731
468,40,93,7,Annual,No,3720
469,33,185,1,Annual,No,6105
470,9,41,7,Annual,Yes,369
471,43,173,3,Annual,No,7439
472,54,190,1,Annual,No,10260
473,48,58,9,Two-Year,Yes,2784
474,39,176,6,Two-Year,No,6864
475,29,39,5,Monthly,No,1131
476,42,60,9,Monthly,No,2520
477,55,167,4,Annual,Yes,9185
478,26,127,0,Monthly,No,3302
479,35,166,1,Monthly,Yes,5810
480,50,103,7,Annual,No,5150
481,25,130,0,Two-Year,Yes,3250
482,24,85,2,Two-Year,No,2040
483,13,177,1,Monthly,Yes,2301
484,58,72,4,Two-Year,Yes,4176
485,7,53,3,Two-Year,Yes,371
486,57,169,6,Monthly,No,9633
487,36,86,4,Annual,No,3096
488,45,153,7,Monthly,Yes,6885
489,20,46,3,Monthly,No,920
490,1,29,5,Monthly,No,29
491,8,92,3,Annual,No,736
492,46,115,1,Annual,Yes,5290
493,16,67,0,Annual,No,1072
494,14,89,0,Annual,No,1246
495,12,119,7,Monthly,No,1428
496,51,78,3,Two-Year,No,3978
497,23,21,4,Monthly,Yes,483
498,15,176,7,Annual,No,2640
499,28,84,6,Two-Year,Yes,2352
500,34,102,7,Monthly,No,3468
501,2,173,7,Two-Year,Yes,346
502,32,29,5,Annual,No,928
503,23,72,9,Two-Year,Yes,1656
504,22,98,1,Two-Year,No,2156
505,51,78,5,Annual,No,3978
506,25,169,0,Two-Year,No,4225
507,58,198,0,Monthly,Yes,11484
508,22,67,2,Two-Year,No,1474
509,58,168,2,Monthly,No,9744
510,58,142,4,Two-Year,No,8236
511,22,41,0,Two-Year,Yes,902
512,49,119,9,Annual,No,5831
513,52,117,5,Annual,No,6084
514,42,177,6,Monthly,No,7434
515,6,44,9,Annual,Yes,264
516,15,47,2,Annual,Yes,705
517,54,132,3,Annual,Yes,7128
518,43,64,9,Annual,No,2752
519,37,87,9,Annual,No,3219
520,33,26,9,Monthly,No,858
521,8,68,9,Monthly,No,544
522,53,156,9,Annual,No,8268
523,44,183,2,Annual,No,8052
524,44,102,0,Monthly,No,4488
525,5,148,7,Two-Year,No,740
526,39,157,9,Monthly,No,6123
527,4,183,9,Two-Year,No,732
528,6,92,1,Annual,No,552
529,45,65,0,Annual,No,2925
530,32,125,7,Monthly,No,4000
531,52,179,6,Annual,Yes,9308
532,30,51,6,Two-Year,No,1530
533,47,25,3,Two-Year,Yes,1175
534,35,195,8,Monthly,Yes,6825
535,55,185,5,Two-Year,No,10175
536,40,164,1,Monthly,No,6560
537,52,93,0,Monthly,No,4836
538,16,133,0,Two-Year,No,2128
539,13,46,8,Two-Year,Yes,598
540,50,73,3,Two-Year,Yes,3650
541,42,197,4,Two-Year,No,8274
542,30,182,2,Two-Year,No,5460
543,19,104,3,Two-Year,Yes,1976
544,17,146,7,Two-Year,No,2482
545,56,172,3,Annual,No,9632
546,19,175,8,Monthly,No,3325
547,28,130,8,Monthly,No,3640
548,58,34,5,Two-Year,No,1972
549,55,151,1,Monthly,No,8305
550,26,112,9,Two-Year,No,2912
551,37,142,6,Annual,Yes,5254
552,26,92,8,Monthly,No,2392
553,53,174,5,Monthly,No,9222
554,23,173,2,Annual,Yes,3979
555,9,166,6,Annual,Yes,1494
556,12,111,4,Annual,No,1332
557,53,36,0,Monthly,No,1908
558,1,62,2,Monthly,No,62
559,58,140,4,Annual,Yes,8120
560,58,60,6,Annual,No,3480
561,1,189,2,Annual,No,189
562,47,197,5,Annual,Yes,9259
563,34,187,4,Annual,No,6358
564,32,58,0,Two-Year,Yes,1856
565,54,132,9,Annual,Yes,7128
566,48,170,5,Two-Year,No,8160
567,25,130,7,Monthly,No,3250
568,40,199,0,Monthly,Yes,7960
569,45,66,1,Two-Year,No,2970
570,53,82,3,Annual,No,4346
571,1,129,1,Monthly,No,129
572,16,88,8,Annual,No,1408
573,39,62,9,Annual,No,2418
574,5,195,7,Two-Year,Yes,975
575,22,53,7,Monthly,No,1166
576,29,59,3,Monthly,Yes,1711
577,55,80,4,Two-Year,No,4400
578,3,197,3,Annual,No,591
579,12,81,8,Annual,No,972
580,26,77,1,Monthly,Yes,2002
581,16,180,7,Two-Year,No,2880
582,51,94,1,Two-Year,No,4794
583,37,35,0,Annual,No,1295
584,22,101,9,Annual,No,2222
585,57,113,2,Two-Year,No,6441
586,29,67,8,Monthly,No,1943
587,14,157,2,Annual,No,2198
588,28,101,8,Two-Year,No,2828
589,5,57,6,Two-Year,No,285
590,47,146,9,Two-Year,No,6862
591,49,38,0,Monthly,No,1862
592,30,183,9,Annual,No,5490
593,46,82,4,Annual,No,3772
594,52,96,8,Annual,No,4992
595,5,193,2,Monthly,No,965
596,12,150,8,Annual,No,1800
597,16,121,4,Annual,No,1936
598,26,84,8,Annual,No,2184
599,26,139,9,Annual,No,3614
600,48,110,5,Monthly,No,5280
601,21,27,8,Two-Year,Yes,567
602,39,198,6,Two-Year,No,7722
603,36,92,6,Annual,No,3312
604,33,153,7,Annual,No,5049
605,30,126,6,Annual,Yes,3780
606,37,108,8,Monthly,No,3996
607,23,58,8,Annual,No,1334
608,58,132,5,Monthly,Yes,7656
609,10,47,6,Annual,Yes,470
610,54,116,1,Annual,No,6264
611,5,56,8,Two-Year,No,280
612,36,156,0,Annual,Yes,5616
613,34,101,0,Monthly,No,3434
614,52,75,2,Two-Year,No,3900
615,31,104,5,Monthly,No,3224
616,10,21,4,Two-Year,No,210
617,58,77,1,Monthly,No,4466
618,19,126,8,Two-Year,No,2394
619,58,142,9,Monthly,No,8236
620,32,187,3,Monthly,No,5984
621,1,183,3,Annual,No,183
622,56,133,4,Two-Year,No,7448
623,5,126,7,Two-Year,No,630
624,45,56,9,Annual,Yes,2520
625,4,98,3,Monthly,Yes,392
626,16,111,4,Monthly,No,1776
627,24,37,3,Two-Year,No,888
628,16,117,5,Monthly,No,1872
629,55,82,2,Two-Year,Yes,4510
630,2,169,7,Two-Year,Yes,338
631,49,158,5,Monthly,No,7742
632,28,23,9,Monthly,No,644
633,32,154,4,Monthly,No,4928
634,27,80,1,Annual,Yes,2160
635,20,126,9,Two-Year,No,2520
636,24,73,9,Monthly,No,1752
637,12,107,6,Annual,No,1284
638,50,87,1,Monthly,No,4350
639,35,148,0,Two-Year,No,5180
640,33,74,6,Annual,No,2442
641,33,22,4,Two-Year,No,726
642,51,185,0,Monthly,No,9435
643,43,140,3,Monthly,Yes,6020
644,37,148,3,Monthly,Yes,5476
645,12,121,9,Annual,No,1452
646,3,57,6,Annual,Yes,171
647,1,104,8,Annual,Yes,104
648,33,176,1,Annual,No,5808
649,40,152,0,Monthly,No,6080
650,10,111,1,Monthly,No,1110
651,43,40,6,Monthly,No,1720
652,44,128,9,Annual,No,5632
653,29,66,5,Annual,No,1914
654,13,103,3,Monthly,No,1339
655,12,102,0,Monthly,Yes,1224
656,31,54,0,Annual,Yes,1674
657,46,88,4,Two-Year,No,4048
658,2,148,0,Monthly,Yes,296
659,51,159,6,Monthly,Yes,8109
660,50,46,0,Monthly,Yes,2300
661,35,75,0,Annual,No,2625
662,23,42,1,Monthly,No,966
663,17,172,9,Monthly,No,2924
664,26,40,2,Monthly,Yes,1040
665,8,80,0,Monthly,No,640
666,29,82,8,Monthly,Yes,2378
667,26,141,9,Two-Year,No,3666
668,10,71,7,Two-Year,No,710
669,26,107,4,Monthly,No,2782
670,34,172,1,Monthly,No,5848
671,51,74,4,Monthly,No,3774
672,41,65,5,Monthly,No,2665
673,7,51,0,Annual,No,357
674,4,74,3,Annual,No,296
675,58,115,8,Annual,No,6670
676,53,152,1,Two-Year,No,8056
677,50,55,4,Monthly,No,2750
678,45,129,0,Annual,No,5805
679,11,196,3,Monthly,Yes,2156
680,29,125,3,Monthly,No,3625
681,56,77,5,Two-Year,No,4312
682,36,58,9,Two-Year,No,2088
683,25,99,8,Annual,Yes,2475
684,21,116,2,Annual,No,2436
685,57,132,8,Two-Year,No,7524
686,36,80,5,Two-Year,No,2880
687,10,156,6,Monthly,No,1560
688,37,25,9,Monthly,No,925
689,9,128,1,Annual,No,1152
690,24,54,9,Annual,Yes,1296
691,35,58,5,Two-Year,No,2030
692,49,169,5,Annual,No,8281
693,35,188,1,Monthly,No,6580
694,48,137,1,Two-Year,No,6576
695,36,24,1,Monthly,No,864
696,18,189,9,Two-Year,No,3402
697,49,106,0,Two-Year,No,5194
698,39,95,4,Monthly,No,3705
699,32,177,7,Annual,No,5664
700,24,76,1,Annual,No,1824
701,23,146,4,Annual,No,3358
702,32,48,7,Annual,Yes,1536
703,37,184,9,Monthly,No,6808
704,12,106,4,Two-Year,No,1272
705,49,160,1,Monthly,Yes,7840
706,55,179,2,Annual,No,9845
707,13,65,5,Annual,No,845
708,23,135,4,Monthly,No,3105
709,25,131,3,Two-Year,No,3275
710,35,170,3,Monthly,No,5950
711,41,64,4,Monthly,No,2624
712,30,164,1,Monthly,No,4920
713,17,123,8,Two-Year,No,2091
714,49,104,1,Monthly,No,5096
715,20,153,9,Monthly,No,3060
716,48,127,1,Annual,No,6096
717,25,37,9,Monthly,Yes,925
718,22,113,8,Annual,Yes,2486
719,13,169,2,Annual,No,2197
720,59,52,9,Annual,No,3068
721,19,177,6,Two-Year,No,3363
722,49,145,3,Annual,No,7105
723,36,179,5,Monthly,Yes,6444
724,12,189,3,Monthly,Yes,2268
725,41,141,9,Annual,No,5781
726,19,157,6,Annual,No,2983
727,12,134,0,Monthly,No,1608
728,9,183,2,Annual,No,1647
729,7,181,2,Two-Year,Yes,1267
730,28,47,0,Annual,No,1316
731,14,30,5,Two-Year,No,420
732,31,186,8,Two-Year,No,5766
733,52,66,7,Two-Year,No,3432
734,19,146,6,Annual,No,2774
735,58,166,9,Two-Year,No,9628
736,47,137,7,Two-Year,Yes,6439
737,16,162,5,Annual,Yes,2592
738,53,145,8,Two-Year,No,7685
739,5,175,2,Annual,No,875
740,35,171,9,Monthly,Yes,5985
741,12,91,9,Two-Year,No,1092
742,25,126,8,Annual,No,3150
743,52,156,3,Monthly,No,8112
744,59,194,6,Two-Year,Yes,11446
745,21,52,8,Two-Year,No,1092
746,36,38,1,Annual,No,1368
747,53,93,1,Monthly,Yes,4929
748,23,187,8,Annual,No,4301
749,16,194,2,Two-Year,No,3104
750,57,176,8,Two-Year,No,10032
751,39,197,4,Two-Year,No,7683
752,45,117,5,Two-Year,No,5265
753,53,160,1,Monthly,No,8480
754,42,148,7,Monthly,No,6216
755,58,181,8,Annual,No,10498
756,39,112,1,Annual,No,4368
757,14,195,5,Annual,Yes,2730
758,31,67,5,Two-Year,No,2077
759,58,196,7,Annual,Yes,11368
760,5,83,9,Monthly,Yes,415
761,35,80,4,Annual,No,2800
